accession,id,description,keyword,,,,
PF05291,Bystin,Bystin,nucleus,,,,
PF05311,Baculo_PP31,Baculovirus 33KDa late protein (PP31),nucleus,,,,
PF05316,VAR1,Mitochondrial ribosomal protein (VAR1),nucleus,,,,
PF05419,GUN4,GUN4-like ,nucleus,,,,
PF05427,FIBP,Acidic fibroblast growth factor binding (FIBP) ,nucleus,,,,
PF05508,Ran-binding,RanGTP-binding protein,nucleus,,,,
PF05615,THOC7,Tho complex subunit 7,nucleus,,,,
PF06212,GRIM-19,GRIM-19 protein,nucleus,,,,
PF06278,CNDH2_N,"Condensin II complex subunit CAP-H2 or CNDH2, N-terminal",nucleus,,,,
PF06484,Ten_N,Teneurin Intracellular Region,nucleus,,,,
PF06515,BDV_P10,Borna disease virus P10 protein,nucleus,,,,
PF06607,Prokineticin,Prokineticin,nucleus,,,,
PF07263,DMP1,Dentin matrix protein 1 (DMP1),nucleus,,,,
PF07708,Tash_PEST,Tash protein PEST motif,nucleus,,,,
PF07807,RED_C,RED-like protein C-terminal region,nucleus,,,,
PF08192,Peptidase_S64,Peptidase family S64,nucleus,,,,
PF08579,RPM2,Mitochondrial ribonuclease P subunit (RPM2),nucleus,,,,
PF08600,Rsm1,Rsm1-like,nucleus,,,,
PF10036,RLL,"RNA transcription, translation and transport factor protein",nucleus,,,,
PF10159,MMtag,Multiple myeloma tumor-associated,nucleus,,,,
PF10234,Cluap1,Clusterin-associated protein-1,nucleus,,,,
PF10249,NDUFB10,NADH-ubiquinone oxidoreductase subunit 10,nucleus,,,,
PF10401,IRF-3,Interferon-regulatory factor 3,nucleus,,,,
PF10494,Stk19,Serine-threonine protein kinase 19,nucleus,,,,
PF11176,Tma16,Translation machinery-associated protein 16 ,nucleus,,,,
PF11409,SARA,Smad anchor for receptor activation (SARA),nucleus,,,,
PF11500,Cut12,Spindle pole body formation-associated protein,nucleus,,,,
PF11502,BCL9,B-cell lymphoma 9 protein,nucleus,,,,
PF11522,Pik1,Yeast phosphatidylinositol-4-OH kinase Pik1,nucleus,,,,
PF11548,Receptor_IA-2,Protein-tyrosine phosphatase receptor IA-2,nucleus,,,,
PF11569,Homez,"Homeodomain leucine-zipper encoding, Homez",nucleus,,,,
PF11732,Thoc2,Transcription- and export-related complex subunit,nucleus,,,,
PF12171,zf-C2H2_jaz,Zinc-finger double-stranded RNA-binding,nucleus,,,,
PF12179,IKKbetaNEMObind,I-kappa-kinase-beta NEMO binding domain,nucleus,,,,
PF12237,PCIF1_WW,Phosphorylated CTD interacting factor 1 WW domain,nucleus,,,,
PF12470,SUFU_C,Suppressor of Fused Gli/Ci N terminal binding domain,nucleus,,,,
PF12719,Cnd3,"Nuclear condensing complex subunits, C-term domain",nucleus,,,,
PF12814,Mcp5_PH,Meiotic cell cortex C-terminal pleckstrin homology,nucleus,,,,
PF12881,NUT,NUT protein,nucleus,,,,
PF13691,Lactamase_B_4,tRNase Z endonuclease,nucleus,,,,
PF14766,RPA_interact_N,Replication protein A interacting N-terminal,nucleus,,,,
PF14767,RPA_interact_M,Replication protein A interacting middle,nucleus,,,,
PF14768,RPA_interact_C,Replication protein A interacting C-terminal,nucleus,,,,
PF14912,THEG,Testicular haploid expressed repeat,nucleus,,,,
PF15011,CK2S,Casein Kinase 2 substrate,nucleus,,,,
PF15068,FAM101,FAM101 family,nucleus,,,,
PF15077,MAJIN,Membrane-anchored junction protein ,nucleus,,,,
PF15101,TERB2,Telomere-associated protein TERB2,nucleus,,,,
PF15226,HPIP,HCF-1 beta-propeller-interacting protein family,nucleus,,,,
PF15274,MLIP,Muscular LMNA-interacting protein,nucleus,,,,
PF15348,GEMIN8,Gemini of Cajal bodies-associated protein 8,nucleus,,,,
PF16705,NUDIX_5,"NUDIX, or N-terminal NPxY motif-rich, region of KRIT",nucleus,,,,
PF16869,CNDH2_M,PF16858,nucleus,,,,
PF17066,RITA,RBPJ-interacting and tubulin associated protein,nucleus,,,,
PF17378,REC104,Meiotic recombination protein REC104,nucleus,,,,
PF17442,U62_UL91,Functional domain of U62 and UL91 proteins ,nucleus,,,,
PF00844,Gemini_coat,Geminivirus coat protein/nuclear export factor BR1 family,nucleus,,,,
PF02438,Adeno_100,Late 100kD protein,nucleus,,,,
PF03159,XRN_N,XRN 5'-3' exonuclease N-terminus,nucleus,,,,
PF03715,Noc2,Noc2p family,nucleus,,,,
PF03828,PAP_assoc,Cid1 family poly A polymerase,nucleus,,,,
PF03907,Spo7,Spo7-like protein,nucleus,,,,
PF04697,Pinin_SDK_N,pinin/SDK conserved region,nucleus,,,,
PF05172,Nup35_RRM,Nup53/35/40-type RNA recognition motif,nucleus,,,,
PF05797,Rep_4,Yeast trans-acting factor (REP1/REP2),nucleus,,,,
PF05847,Baculo_LEF-3,Nucleopolyhedrovirus late expression factor 3 (LEF-3),nucleus,,,,
PF06694,Plant_NMP1,Plant nuclear matrix protein 1 (NMP1),nucleus,,,,
PF06732,Pescadillo_N,Pescadillo N-terminus,nucleus,,,,
PF07818,HCNGP,HCNGP-like protein,nucleus,,,,
PF08524,rRNA_processing,rRNA processing,nucleus,,,,
PF08595,RXT2_N,"RXT2-like, N-terminal",nucleus,,,,
PF09088,MIF4G_like,MIF4G like,nucleus,,,,
PF09090,MIF4G_like_2,MIF4G like,nucleus,,,,
PF09728,Taxilin,Myosin-like coiled-coil protein,nucleus,,,,
PF09736,Bud13,Pre-mRNA-splicing factor of RES complex,nucleus,,,,
PF09807,ELP6,Elongation complex protein 6,nucleus,,,,
PF09810,Exo5,Exonuclease V - a 5' deoxyribonuclease,nucleus,,,,
PF10505,NARG2_C,NMDA receptor-regulated gene protein 2 C-terminus,nucleus,,,,
PF12622,NpwBP,mRNA biogenesis factor,nucleus,,,,
PF15279,SOBP,Sine oculis-binding protein,nucleus,,,,
PF15498,Dendrin,"Nephrin and CD2AP-binding protein, Dendrin",nucleus,,,,
PF15501,MDM1,Nuclear protein MDM1,nucleus,,,,
PF15684,AROS,"Active regulator of SIRT1, or 40S ribosomal protein S19-binding 1",nucleus,,,,
PF16858,CNDH2_C,"Condensin II complex subunit CAP-H2 or CNDH2, C-term",nucleus,,,,
PF16953,PRORP,Protein-only RNase P,nucleus,,,,
PF17177,PPR_long,Pentacotripeptide-repeat region of PRORP,nucleus,,,,
PF18031,UCH_C,Ubiquitin carboxyl-terminal hydrolases,nucleus,,,,
PF18126,Mitoc_mL59,Mitochondrial ribosomal protein mL59,nucleus,,,,
PF18580,Sun2_CC2,SUN2 coiled coil domain 2,nucleus,,,,
PF00001,7tm_1,7 transmembrane receptor (rhodopsin family),membrane,,,,
PF00002,7tm_2,7 transmembrane receptor (Secretin family),membrane,,,,
PF00003,7tm_3,7 transmembrane sweet-taste receptor of 3 GCPR,membrane,,,,
PF00335,Tetraspanin,Tetraspanin family,membrane,,,,
PF00430,ATP-synt_B,ATP synthase B/B' CF(0),membrane,,,,
PF00520,Ion_trans,Ion transport protein,membrane,,,,
PF00528,BPD_transp_1,Binding-protein-dependent transport system inner membrane component,membrane,,,,
PF00529,HlyD,HlyD membrane-fusion protein of T1SS,membrane,,,,
PF00577,Usher,Outer membrane usher protein,membrane,,,,
PF00654,Voltage_CLC,Voltage gated chloride channel,membrane,,,,
PF00664,ABC_membrane,ABC transporter transmembrane region,membrane,,,,
PF00804,Syntaxin,Syntaxin,membrane,,,,
PF00873,ACR_tran,AcrB/AcrD/AcrF family,membrane,,,,
PF00892,EamA,EamA-like transporter family,membrane,,,,
PF00916,Sulfate_transp,Sulfate permease family,membrane,,,,
PF00999,Na_H_Exchanger,Sodium/hydrogen exchanger family,membrane,,,,
PF01036,Bac_rhodopsin,Bacteriorhodopsin-like protein,membrane,,,,
PF01043,SecA_PP_bind,SecA preprotein cross-linking domain,membrane,,,,
PF01061,ABC2_membrane,ABC-2 type transporter,membrane,,,,
PF01103,Bac_surface_Ag,Surface antigen,membrane,,,,
PF01299,Lamp,Lysosome-associated membrane glycoprotein (Lamp),membrane,,,,
PF01389,OmpA_membrane,OmpA-like transmembrane domain,membrane,,,,
PF01534,Frizzled,Frizzled/Smoothened family membrane region,membrane,,,,
PF01545,Cation_efflux,Cation efflux family,membrane,,,,
PF01694,Rhomboid,Rhomboid family,membrane,,,,
PF01699,Na_Ca_ex,Sodium/calcium exchanger protein,membrane,,,,
PF01769,MgtE,Divalent cation transporter,membrane,,,,
PF01891,CbiM,Cobalt uptake substrate-specific transmembrane region,membrane,,,,
PF01956,EMC3_TMCO1,Integral membrane protein EMC3/TMCO1-like,membrane,,,,
PF02096,60KD_IMP,60Kd inner membrane protein,membrane,,,,
PF02109,DAD,DAD family,membrane,,,,
PF02253,PLA1,Phospholipase A1,membrane,,,,
PF02264,LamB,LamB porin,membrane,,,,
PF02321,OEP,Outer membrane efflux protein,membrane,,,,
PF02386,TrkH,Cation transport protein,membrane,,,,
PF02430,AMA-1,Apical membrane antigen 1,membrane,,,,
PF02462,Opacity,Opacity family porin protein,membrane,,,,
PF02472,ExbD,Biopolymer transport protein ExbD/TolR,membrane,,,,
PF02517,CPBP,CPBP intramembrane metalloprotease,membrane,,,,
PF02537,CRCB,"CrcB-like protein, Camphor Resistance (CrcB)",membrane,,,,
PF02600,DsbB,Disulfide bond formation protein DsbB,membrane,,,,
PF02608,Bmp,ABC transporter substrate-binding protein PnrA-like,membrane,,,,
PF02683,DsbD,Cytochrome C biogenesis protein transmembrane region,membrane,,,,
PF02687,FtsX,FtsX-like permease family,membrane,,,,
PF02932,Neur_chan_memb,Neurotransmitter-gated ion-channel transmembrane region,membrane,,,,
PF03006,HlyIII,Haemolysin-III related,membrane,,,,
PF03030,H_PPase,Inorganic H+ pyrophosphatase,membrane,,,,
PF03037,KMP11,Kinetoplastid membrane protein 11,membrane,,,,
PF03073,TspO_MBR,TspO/MBR family,membrane,,,,
PF03176,MMPL,MMPL family,membrane,,,,
PF03480,DctP,"Bacterial extracellular solute-binding protein, family 7",membrane,,,,
PF03550,LolB,Outer membrane lipoprotein LolB,membrane,,,,
PF03573,OprD,"outer membrane porin, OprD family",membrane,,,,
PF03595,SLAC1,Voltage-dependent anion channel,membrane,,,,
PF03611,EIIC-GAT,PTS system sugar-specific permease component,membrane,,,,
PF03647,Tmemb_14,Transmembrane proteins 14C,membrane,,,,
PF03739,LptF_LptG,Lipopolysaccharide export system permease LptF/LptG,membrane,,,,
PF03783,CsgG,Curli production assembly/transport component CsgG,membrane,,,,
PF03922,OmpW,OmpW family,membrane,,,,
PF03938,OmpH,Outer membrane protein (OmpH-like),membrane,,,,
PF04138,GtrA,GtrA-like protein,membrane,,,,
PF04140,ICMT,Isoprenylcysteine carboxyl methyltransferase (ICMT) family ,membrane,,,,
PF04145,Ctr,Ctr copper transporter family,membrane,,,,
PF04333,MlaA,MlaA lipoprotein,membrane,,,,
PF04355,SmpA_OmlA,SmpA / OmlA family,membrane,,,,
PF04390,LptE,Lipopolysaccharide-assembly,membrane,,,,
PF04728,LPP,Lipoprotein leucine-zipper,membrane,,,,
PF05405,Mt_ATP-synt_B,Mitochondrial ATP synthase B chain precursor (ATP-synt_B),membrane,,,,
PF06480,FtsH_ext,FtsH Extracellular,membrane,,,,
PF06936,Selenoprotein_S,Selenoprotein S (SelS),membrane,,,,
PF07415,Herpes_LMP2,Gammaherpesvirus latent membrane protein (LMP2) protein,membrane,,,,
PF07517,SecA_DEAD,SecA DEAD-like domain,membrane,,,,
PF09330,Lact-deh-memb,"D-lactate dehydrogenase, membrane binding",membrane,,,,
PF09360,zf-CDGSH,Iron-binding zinc finger CDGSH type,membrane,,,,
PF12122,Rhomboid_N,Cytoplasmic N-terminal domain of rhomboid serine protease,membrane,,,,
PF12424,ATP_Ca_trans_C,Plasma membrane calcium transporter ATPase C terminal,membrane,,,,
PF00060,Lig_chan,Ligand-gated ion channel,membrane,,,,
PF02460,Patched,Patched family,membrane,,,,
PF04453,LptD,LPS transport system D,membrane,,,,
PF00005,ABC_tran,ABC transporter,membrane,,,,
PF00029,Connexin,Connexin,membrane,,,,
PF00068,Phospholip_A2_1,Phospholipase A2,membrane,,,,
PF00173,Cyt-b5,Cytochrome b5-like Heme/Steroid binding domain,membrane,,,,
PF00361,Proton_antipo_M,Proton-conducting membrane transporter,membrane,,,,
PF00611,FCH,"Fes/CIP4, and EFC/F-BAR homology domain",membrane,,,,
PF00662,Proton_antipo_N,"NADH-Ubiquinone oxidoreductase (complex I), chain 5 N-terminus",membrane,,,,
PF00689,Cation_ATPase_C,"Cation transporting ATPase, C-terminus",membrane,,,,
PF01027,Bax1-I,Inhibitor of apoptosis-promoting Bax1,membrane,,,,
PF01062,Bestrophin,"Bestrophin, RFP-TM, chloride channel",membrane,,,,
PF01105,EMP24_GP25L,emp24/gp25L/p24 family/GOLD,membrane,,,,
PF01124,MAPEG,MAPEG family,membrane,,,,
PF01145,Band_7,SPFH domain / Band 7 family,membrane,,,,
PF01298,TbpB_B_D,C-lobe and N-lobe beta barrels of Tf-binding protein B,membrane,,,,
PF01635,Corona_M,Coronavirus M matrix/glycoprotein,membrane,,,,
PF01773,Nucleos_tra2_N,Na+ dependent nucleoside transporter N-terminus,membrane,,,,
PF01794,Ferric_reduct,Ferric reductase like transmembrane component,membrane,,,,
PF01823,MACPF,MAC/Perforin domain,membrane,,,,
PF01957,NfeD,"NfeD-like C-terminal, partner-binding",membrane,,,,
PF02355,SecD_SecF,Protein export membrane protein,membrane,,,,
PF02421,FeoB_N,Ferrous iron transport protein B,membrane,,,,
PF02953,zf-Tim10_DDP,Tim10/DDP family zinc finger,membrane,,,,
PF03020,LEM,LEM domain,membrane,,,,
PF03024,Folate_rec,Folate receptor family,membrane,,,,
PF03127,GAT,GAT domain,membrane,,,,
PF03349,Toluene_X,Outer membrane protein transport protein (OMPP1/FadL/TodX),membrane,,,,
PF03458,UPF0126,UPF0126 domain,membrane,,,,
PF03762,VOMI,Vitelline membrane outer layer protein I (VOMI) ,membrane,,,,
PF03797,Autotransporter,Autotransporter beta-domain,membrane,,,,
PF03865,ShlB,Haemolysin secretion/activation protein ShlB/FhaC/HecB,membrane,,,,
PF03895,YadA_anchor,YadA-like membrane anchor domain,membrane,,,,
PF03911,Sec61_beta,Sec61beta family,membrane,,,,
PF03916,NrfD,"Polysulphide reductase, NrfD",membrane,,,,
PF04011,LemA,LemA family,membrane,,,,
PF04193,PQ-loop,PQ loop repeat ,membrane,,,,
PF04402,SIMPL,Protein of unknown function (DUF541),membrane,,,,
PF04495,GRASP55_65,GRASP55/65 PDZ-like domain ,membrane,,,,
PF04588,HIG_1_N,Hypoxia induced protein conserved region,membrane,,,,
PF04695,Pex14_N,Peroxisomal membrane anchor protein (Pex14p) conserved region,membrane,,,,
PF04756,OST3_OST6,"OST3 / OST6 family, transporter family",membrane,,,,
PF04888,SseC,Secretion system effector C (SseC) like family ,membrane,,,,
PF04972,BON,BON domain,membrane,,,,
PF05108,T7SS_ESX1_EccB,"Type VII secretion system ESX-1, transport TM domain B",membrane,,,,
PF05538,Campylo_MOMP,Campylobacter major outer membrane protein,membrane,,,,
PF05552,TM_helix,Conserved TM helix,membrane,,,,
PF05739,SNARE,SNARE domain,membrane,,,,
PF05835,Synaphin,Synaphin protein,membrane,,,,
PF06178,KdgM,Oligogalacturonate-specific porin protein (KdgM),membrane,,,,
PF06550,SPP,"Signal-peptide peptidase, presenilin aspartyl protease",membrane,,,,
PF06744,IcmF_C,Type VI secretion protein IcmF C-terminal,membrane,,,,
PF06747,CHCH,CHCH domain,membrane,,,,
PF06804,Lipoprotein_18,NlpB/DapX lipoprotein,membrane,,,,
PF07017,PagP,Antimicrobial peptide resistance and lipid A acylation protein PagP,membrane,,,,
PF07239,OpcA,Outer membrane protein OpcA,membrane,,,,
PF07474,G2F,G2F domain,membrane,,,,
PF07549,Sec_GG,SecD/SecF GG Motif,membrane,,,,
PF07662,Nucleos_tra2_C,Na+ dependent nucleoside transporter C-terminus,membrane,,,,
PF07670,Gate,Nucleoside recognition,membrane,,,,
PF07766,LETM1,LETM1-like protein,membrane,,,,
PF07885,Ion_trans_2,Ion channel,membrane,,,,
PF07980,SusD_RagB,SusD family,membrane,,,,
PF08113,CoxIIa,Cytochrome c oxidase subunit IIa family,membrane,,,,
PF08139,LPAM_1,Prokaryotic membrane lipoprotein lipid attachment site,membrane,,,,
PF08478,POTRA_1,"POTRA domain, FtsQ-type",membrane,,,,
PF08805,PilS,PilS N terminal,membrane,,,,
PF09381,Porin_OmpG,Outer membrane protein G (OmpG),membrane,,,,
PF09411,PagL,Lipid A 3-O-deacylase (PagL),membrane,,,,
PF10559,Plug_translocon,Plug domain of Sec61p,membrane,,,,
PF10699,HAP2-GCS1,Male gamete fusion factor,membrane,,,,
PF11431,Transport_MerF,Membrane transport protein MerF,membrane,,,,
PF11458,Mistic,Membrane-integrating protein Mistic,membrane,,,,
PF11551,Omp28,Outer membrane protein Omp28,membrane,,,,
PF11580,DUF3239,Protein of unknown function (DUF3239),membrane,,,,
PF11924,IAT_beta,"Inverse autotransporter, beta-domain",membrane,,,,
PF12103,Lipl32,Surface lipoprotein of Spirochaetales order,membrane,,,,
PF12349,Sterol-sensing,Sterol-sensing domain of SREBP cleavage-activation,membrane,,,,
PF12790,T6SS-SciN,"Type VI secretion lipoprotein, VasD, EvfM, TssJ, VC_A0113",membrane,,,,
PF12822,ECF_trnsprt,"ECF transporter, substrate-specific component",membrane,,,,
PF13493,DUF4118,Domain of unknown function (DUF4118),membrane,,,,
PF13505,OMP_b-brl,Outer membrane protein beta-barrel domain,membrane,,,,
PF14322,SusD-like_3,Starch-binding associating with outer membrane,membrane,,,,
PF14849,YidC_periplas,YidC periplasmic domain,membrane,,,,
PF15447,NTS,N-terminal segments of PfEMP1,membrane,,,,
PF16491,Peptidase_M48_N,"CAAX prenyl protease N-terminal, five membrane helices",membrane,,,,
PF16572,HlyD_D4,"Long alpha hairpin domain of cation efflux system protein, CusB",membrane,,,,
PF16576,HlyD_D23,Barrel-sandwich domain of CusB or HlyD membrane-fusion,membrane,,,,
PF16584,LolA_2,Outer membrane lipoprotein carrier protein LolA,membrane,,,,
PF16693,Yop-YscD_ppl,"Inner membrane component of T3SS, periplasmic domain",membrane,,,,
PF16979,SIN1_PH,"SAPK-interacting protein 1 (Sin1), Pleckstrin-homology",membrane,,,,
PF17047,SMP_LBD,Synaptotagmin-like mitochondrial-lipid-binding domain,membrane,,,,
PF17131,LolA_like,Outer membrane lipoprotein-sorting protein,membrane,,,,
PF00023,Ank,Ankyrin repeat,membrane,,,,
PF00067,p450,Cytochrome P450,membrane,,,,
PF01148,CTP_transf_1,Cytidylyltransferase family,membrane,,,,
PF03011,PFEMP,PFEMP DBL domain,membrane,,,,
PF03544,TonB_C,Gram-negative bacterial TonB protein C-terminal,membrane,,,,
PF04547,Anoctamin,Calcium-activated chloride channel,membrane,,,,
PF05423,Mycobact_memb,Mycobacterium membrane protein,membrane,,,,
PF10140,YukC,"WXG100 protein secretion system (Wss), protein YukC",membrane,,,,
PF11511,RhodobacterPufX,Intrinsic membrane protein PufX,membrane,,,,
PF12352,V-SNARE_C,Snare region anchored in the vesicle membrane C-terminus,membrane,,,,
PF12769,PNTB_4TM,"4TM region of pyridine nucleotide transhydrogenase, mitoch",membrane,,,,
PF12771,SusD-like_2,Starch-binding associating with outer membrane,membrane,,,,
PF13525,YfiO,Outer membrane lipoprotein,membrane,,,,
PF13774,Longin,Regulated-SNARE-like domain,membrane,,,,
PF16666,MAGI_u5,Unstructured region on MAGI,membrane,,,,
PF17970,bMG1,Bacterial Alpha-2-macroglobulin MG1 domain ,membrane,,,,
PF18045,ISP3_C,ISP3 C-terminal,membrane,,,,
PF18075,FtsX_ECD,FtsX extracellular domain,membrane,,,,
PF18161,ISP1_C,ISP1 C-terminal,membrane,,,,
PF18412,Wza_C,Outer-membrane lipoprotein Wza C-terminal domain,membrane,,,,
PF18422,TNFR_16_TM,Tumor necrosis factor receptor member 16 trans-membrane domain,membrane,,,,
PF18527,STT3_PglB_C,STT3/PglB C-terminal beta-barrel domain,membrane,,,,
PF18529,MIX,Mitochondrial membrane-anchored proteins,membrane,,,,
PF00860,Xan_ur_permease,Permease family,membrane,,,,
PF00902,TatC,Sec-independent protein translocase protein (TatC),membrane,,,,
PF00939,Na_sulph_symp,Sodium:sulfate symporter transmembrane region,membrane,,,,
PF01127,Sdh_cyt,Succinate dehydrogenase/Fumarate reductase transmembrane subunit,membrane,,,,
PF01151,ELO,GNS1/SUR4 family,membrane,,,,
PF01244,Peptidase_M19,Membrane dipeptidase (Peptidase family M19),membrane,,,,
PF01284,MARVEL,Membrane-associating domain,membrane,,,,
PF01292,Ni_hydr_CYTB,Prokaryotic cytochrome b561,membrane,,,,
PF01311,Bac_export_1,"Bacterial export proteins, family 1",membrane,,,,
PF01313,Bac_export_3,"Bacterial export proteins, family 3",membrane,,,,
PF01537,Herpes_glycop_D,Herpesvirus glycoprotein D/GG/GX domain,membrane,,,,
PF01566,Nramp,Natural resistance-associated macrophage protein,membrane,,,,
PF01679,Pmp3,Proteolipid membrane potential modulator,membrane,,,,
PF01733,Nucleoside_tran,Nucleoside transporter,membrane,,,,
PF01758,SBF,Sodium Bile acid symporter family,membrane,,,,
PF01914,MarC,MarC family integral membrane protein,membrane,,,,
PF01925,TauE,Sulfite exporter TauE/SafE,membrane,,,,
PF01940,DUF92,Integral membrane protein DUF92,membrane,,,,
PF01943,Polysacc_synt,Polysaccharide biosynthesis protein,membrane,,,,
PF02040,ArsB,Arsenical pump membrane protein,membrane,,,,
PF02117,7TM_GPCR_Sra,Serpentine type 7TM GPCR chemoreceptor Sra,membrane,,,,
PF02300,Fumarate_red_C,Fumarate reductase subunit C,membrane,,,,
PF02313,Fumarate_red_D,Fumarate reductase subunit D,membrane,,,,
PF02322,Cyt_bd_oxida_II,Cytochrome bd terminal oxidase subunit II,membrane,,,,
PF02346,Vac_Fusion,Chordopoxvirus multifunctional envelope protein A27,membrane,,,,
PF02411,MerT,MerT mercuric transport protein,membrane,,,,
PF02447,GntP_permease,GntP family permease,membrane,,,,
PF02487,CLN3,CLN3 protein,membrane,,,,
PF02508,Rnf-Nqr,"Rnf-Nqr subunit, membrane protein",membrane,,,,
PF02530,Porin_2,Porin subfamily,membrane,,,,
PF02554,CstA,Carbon starvation protein CstA,membrane,,,,
PF02628,COX15-CtaA,Cytochrome oxidase assembly protein,membrane,,,,
PF02714,RSN1_7TM,"Calcium-dependent channel, 7TM region, putative phosphate",membrane,,,,
PF02990,EMP70,Endomembrane protein 70,membrane,,,,
PF03040,CemA,CemA family,membrane,,,,
PF03055,RPE65,Retinal pigment epithelial membrane protein,membrane,,,,
PF03083,MtN3_slv,Sugar efflux transporter for intercellular exchange,membrane,,,,
PF03124,EXS,EXS family,membrane,,,,
PF03155,Alg6_Alg8,"ALG6, ALG8 glycosyltransferase family",membrane,,,,
PF03169,OPT,OPT oligopeptide transporter protein,membrane,,,,
